Location,Reviews,Rating
KFC 5449 Fairmont Pkwy,435,3.8
KFC 6839 Spencer Highway,238,3.5
KFC 802 W Southmore Ave,486,3.7
KFC 10034 Broadway Street,391,3.2
KFC 2002 Main St,201,3.5
1776 E Belt Line Rd,515,3.1
KFC 404 W Palm Valley Blvd,665,3.2
KFC 641 Louis Henna Blvd,459,3.4
KFC 3501 Highway 6,428,3.5
KFC 4950 Highway 90A,197,3.2
KFC 3630 Troup Highway,660,3.7
KFC 450 S Southeast Loop 323,22,2.8
KFC 6901 South Broadway,440,3.4
1030 N. Valley Mills Road,786,3.4
2810 Central Freeway,454,2.9
682 S. Watson Rd,576,2.7
16980 W. Yuma Road,167,2.4
KFC 12621 W Bell Rd,627,2.6
KFC 15154 N. Cotton Lane,82,1.8
705 W Baseline Rd,778,3.1
1833 S. 4th Street,1060,3.9
